Municipio,Categoria,Nome,Endereco,Latitude,Longitude
João Pessoa,Educação,ECIT DOM JOSE MARIA PIRES,"R. das Rosas, S/N - B - Bairro das Indústrias, João Pessoa - PB, 58083-332",-7.183012914258114,-34.91985183278449
João Pessoa,Educação,Escola Técnica Estadual de João Pessoa,"Av. Hilton Souto Maior, S/N - Mangabeira, João Pessoa - PB, 58055-018",-7.163239912428235,-34.82547993278474
João Pessoa,Educação,CEEEA Sesquicentenário,"R. Manoel França, s/n - Pedro Gondim, João Pessoa - PB, 58050-280",-7.11503755420581,-34.84687814812777
João Pessoa,Educação,Centro Estadual de Arte - Cearte,"Praça Aristides Lobo, 129 - Centro, João Pessoa - PB, 58010-320",-7.119126608364025,-34.88486373278492
João Pessoa,Educação,Cpm Estudante Rebeca Cristina Alves Simoes ,"R. Maria Alves Da Silva, 00 - Mangabeira, João Pessoa - PB, 58058-400",-7.171603513201622,-34.828441432784565
João Pessoa,Educação,Cria Capistrano de Abreu Estadual,"R. Aurília Lins Rabêlo, SN - Costa e Silva, João Pessoa - PB, 58081-060",-7.181330180086151,-34.897430403948896
João Pessoa,Educação,EEEF Capitulina Sátyro,"R. Valda Cruz Cordeiro, SN - João Agripino, João Pessoa - PB, 58034-050",-7.106111607169792,-34.84376473278496
João Pessoa,Educação,Escola Estadual de Ensino Fundamental e Médio José do Patrocínio,"R. Antônio Corrêa da Costa - Funcionários, João Pessoa - PB, 58078-360",-7.18169298493664,-34.881646447559184
João Pessoa,Educação,ESCOLA CIDADÃ INTEGRAL PROFESSOR LUIZ GONZAGA DE ALBUQUERQUE BURITY.,"Av. Monsenhor Walfredo Leal, 440 - Centro, João Pessoa - PB, 58020-540",-7.11715160818266,-34.87414153278498
João Pessoa,Educação,ECIT Maria do Carmo de Miranda,"Av. João Luiz Ribeiro de Morais, 266 - Jaguaribe, João Pessoa - PB, 58013-230",-7.127314563184499,-34.88017563278484
João Pessoa,Educação,ECITOlivina Olivia Carneiro da Cunha,"Av. Duarte da Silveira, 450 - Centro, João Pessoa - PB, 58013-280",-7.121456032173546,-34.874583446277946
João Pessoa,Educação,ECIT Padre Hildon Bandeira,"Av. Caetano Filgueiras - Torre, João Pessoa - PB, 58040-040",-7.121215708555967,-34.86061699045643
